Sample ID,Date_local,Time_local,ISO_DateTime_UTC,Latitude,Longitude,Depth,Collection_Depth,Size_fraction,Temperature,Salinity,N_Fixation_Rate_Absolute,Nitrogen_Fixation_Rate_SE,Ammonium,Ammonium_SD,Nitrate,Nitrate_SD,Phosphate,Phosphate_SD
Station 1,2011-08-15,19:10,2011-08-16T03:10:00,71.34444,-156.69028,17.1,4,> 3.0,5,30.5,1.6,0.3,1.55,0.07,0.45,0.00,0.55,0.01
Station 2,2011-08-17,15:16,2011-08-17T23:16:00,71.34444,-156.69028,17.5,8,> 3.0,4.7,30.4,12.6,5,0.59,0.00,0.32,0.00,0.51,0.00
Station 3,2011-08-18,20:38,2011-08-19T04:38:00,71.34333,-156.65833,8,2,> 3.0,4.6,30.4,1.1,0.2,0.47,0.02,0.33,0.00,0.47,0.00
Station 4,2011-08-18,23:57,2011-08-19T07:57:00,71.34444,-156.69028,17.5,8,> 3.0,4.5,30.4,1.7,0.5,0.59,0.03,0.29,0.00,0.55,0.00
Station 8,2011-08-16,10:30,2011-08-16T18:30:00,71.31722,-156.83833,,8,> 3.0,,30.4,1.9,0.4,0.22,0.00,0.30,0.00,0.39,0.00
Station 5,2011-08-20,15:53,2011-08-20T23:53:00,71.11889,-156.90667,,0,> 3.0,6.7,12,2.6,0.5,0.14,0.01,0.22,0.01,0.17,0.00
Station 6,2011-08-20,16:04,2011-08-21T00:04:00,71.12917,-157.01944,,0,> 3.0,6.2,15,5.1,0.6,0.11,0.00,0.59,0.00,0.17,0.01
Station 7,2011-08-20,16:18,2011-08-21T00:18:00,71.14583,-157.06250,,0,> 3.0,6,20.1,3.1,0.2,0.10,0.00,0.21,0.00,0.45,0.00
Station 1,2011-08-15,19:10,2011-08-16T03:10:00,71.34444,-156.69028,17.1,4,0.7-3.0,5,30.5,4.1,3.3,1.55,0.07,0.45,0.00,0.55,0.01
Station 2,2011-08-17,15:16,2011-08-17T23:16:00,71.34444,-156.69028,17.5,8,0.7-3.0,4.7,30.4,4.6,6.1,0.59,0.00,0.32,0.00,0.51,0.00
Station 3,2011-08-18,20:38,2011-08-19T04:38:00,71.34333,-156.65833,8,2,0.7-3.0,4.6,30.4,2.4,0.4,0.47,0.02,0.33,0.00,0.47,0.00
Station 4,2011-08-18,23:57,2011-08-19T07:57:00,71.34444,-156.69028,17.5,8,0.7-3.0,4.5,30.4,2.7,1.6,0.59,0.03,0.29,0.00,0.55,0.00
Station 8,2011-08-16,10:30,2011-08-16T18:30:00,71.31722,-156.83833,,8,0.7-3.0,,30.4,5.9,3,0.22,0.00,0.30,0.00,0.39,0.00
Station 5,2011-08-20,15:53,2011-08-20T23:53:00,71.11889,-156.90667,,0,0.7-3.0,6.7,12,2.4,0.7,0.14,0.01,0.22,0.01,0.17,0.00
Station 6,2011-08-20,16:04,2011-08-21T00:04:00,71.12917,-157.01944,,0,0.7-3.0,6.2,15,0.3,1.5,0.11,0.00,0.59,0.00,0.17,0.01
Station 7,2011-08-20,16:18,2011-08-21T00:18:00,71.14583,-157.06250,,0,0.7-3.0,6,20.1,2.5,1.3,0.10,0.00,0.21,0.00,0.45,0.00
