,x,y
A,138.1235213,9.48211674
B,138.0857541,9.556642235
C,138.0446383,9.424008859
D,138.0388056,9.446087706
E,138.1215935,9.603049209
F,138.2008697,9.586949255
G,138.1984362,9.591472086
H,138.0904451,9.454119365
I,138.1323582,9.619109714
J,138.2044227,9.580799434
K,138.1122773,9.477987567
L,138.1603639,9.656828713
M,138.2087718,9.555512586
N,138.1288773,9.520087035
O,138.0882422,9.466456198
P,138.1854365,9.578985924
Q,138.1316788,9.608307339
R,138.0476454,9.427776234
S,138.1595346,9.607155065
T,138.1328769,9.618288482
U,138.0904417,9.554538176
V,138.1285121,9.59956953
W,138.1284576,9.595938038
X,138.1814788,9.588053443
